Qty,Reference, Value, Part Number, Manufacturer, Footprint, Vendor, Vendor Part Number, Tolerance
3,J2-J4,Push Terminal,1771091,Phoenix Contact,"Connectors_Phoenix:PhoenixContact_PTSM0,5_2-2,5-V_SMD",Mouser,651-1771091,
1,U1,AT24CS32,AT24CS32-SSHM,Atmel,Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm,Mouser,556-AT24CS32-SSHM-T,
1,U6,DS18S20,DS18S20,Maxim Integrated,TO_SOT_Packages_THT:TO-92_Molded_Narrow,Mouser,700-DS18S20,
1,U7,DS3231M,DS3231MZ,Maxim Integrated,Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm,Mouser,700-DS3231MZ+,
1,R1,1k,ERJ-3EKF1001V,Panasonic,Resistors_SMD:R_0603,Mouser,667-ERJ-3EKF1001V,1%
2,R2-R3,3.9k,ERJ-3EKF3901V,Panasonic,Resistors_SMD:R_0603,Mouser,667-ERJ-3EKF3901V,1%
1,R4-R7,4.7k,ERJ-3EKF4701V,Panasonic,Resistors_SMD:R_0603,Mouser,667-ERJ-3EKF4701V,1%
3,C5-C7,10nF,GRM188R71H103KA01D,Murata Electronics,Capacitors_SMD:C_0603,Mouser,81-GRM39X103K50D,
6,C1-C4 C8-C9 C10,0.1uF,GRM188R71H104KA93D,Murata Electronics,Capacitors_SMD:C_0603,Mouser,81-GRM39X104K50D,
3,U2-U4,MAX31855,MAX31855KASA+,Maxim Integrated,Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm,Mouser,700-MAX31855KASA+,
1,U5,74LVC139,SN74LVC139APWR,TI,Housings_SSOP:TSSOP-16_4.4x5mm_Pitch0.65mm,Mouser,595-SN74LVC139APWR,
1,J1,RPi_GPIO,2222,Adafruit,raspberry-ml:Pin_Header_Straight_2x20,Mouser,485-2222,
1,SW1,Write,B3U-1000P,Omron,Buttons_Switches_SMD:SW_SPST_B3U-1000P-B,Mouser,653-B3U-1000P,
1,BT1,CR1225,3000,Keystone Electronics,Battery_Holders:Keystone_3000_1x12mm-CoinCell,Mouser,534-3000,
1,BZ1,Buzzer,CUI,CMI-9655S-SMT-TR,cui-ml:CMI-9655S-SMT,Mouser,490-CMI-9655S-SMT-TR,
1,Q1,NUD3124,OnSemi,NUD3124LT1G,TO_SOT_Packages_SMD:SOT-23,Mouser,863-NUD3124LT1G,
